"Title","Class","Show","Date","Lives at","ZM page","Video live","Transcript","Socials posted","Clips made","Needs publish","Notes"
"Music x crypto connect sesh may 25th x BCZ strategies","live","X Spaces","2026-05-27","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-27-space-music-x-crypto-connect-sesh-may-25th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh may 25th x BCZ strategies","live","X Spaces","2026-05-26","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-26-space-music-x-crypto-connect-sesh-may-25th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-05-23","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-23-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-05-22","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-22-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh may 21 x BCZ strategies","live","X Spaces","2026-05-21","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-21-space-music-x-crypto-connect-sesh-may-21-x-bcz-strateg/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh may 18th x BCZ strategies","live","X Spaces","2026-05-18","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-18-space-music-x-crypto-connect-sesh-may-18th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"UVR Anthem 2","produced","Audius releases","2026-05-16","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-16-audius-uvr-anthem-2/","NO","NO","NO","NO","YES",""
"UVR Anthem 1","produced","Audius releases","2026-05-16","ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-16-audius-uvr-anthem-1/","NO","NO","NO","NO","YES",""
"Music x crypto connect sesh x BCZ strategies","live","X Spaces","2026-05-15","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-15-space-music-x-crypto-connect-sesh-x-bcz-strategies/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Underground song vs song trading BattleZ x BCZ strategies","live","X Spaces","2026-05-12","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-12-space-underground-song-vs-song-trading-battlez-x-bcz-s/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh may 12th x BCZ strategies","live","X Spaces","2026-05-12","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-12-space-music-x-crypto-connect-sesh-may-12th-x-bcz-strat/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Erik and Jonathan (Fotocaster)","produced","BCZ YapZ","2026-05-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-12-eriks-jonathan-fotocaster/","YES","YES","NO","NO","NO",""
"COC Concertz #5","community","COC Concertz","2026-05-10","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-10-coc-concertz-5/","YES","YES","NO","NO","NO",""
"Web3coc the ZAO ft godcloud via cocconcertz ZABAL 18 space","live","X Spaces","2026-05-09","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-09-space-web3coc-the-zao-ft-godcloud-via-cocconcertz-zaba/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"WaveWarZ underground music trading x BCZ strategies","live","X Spaces","2026-05-09","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-09-space-wavewarz-underground-music-trading-x-bcz-strateg/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Kenny (POIDH)","produced","BCZ YapZ","2026-05-06","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-05-kenny-poidh/","YES","YES","NO","NO","NO",""
"Music x crypto connect sesh x BCZ strategies","live","X Spaces","2026-05-04","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-04-space-music-x-crypto-connect-sesh-x-bcz-strategies/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Metaversecoc community walk in the ZAO stilo world WaveWarZ","live","X Spaces","2026-05-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-02-space-metaversecoc-community-walk-in-the-zao-stilo-wor/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh x BCZ strategies","live","X Spaces","2026-05-01","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-05-01-space-music-x-crypto-connect-sesh-x-bcz-strategies/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 30th x BCZ strategies","live","X Spaces","2026-04-30","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-30-space-music-x-crypto-connect-sesh-april-30th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum w/Kiba","produced","Let's Talk About Ethereum","2026-04-26","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-26-lets-talk-about-ethereum-kiba/","YES","NO","NO","NO","NO",""
"BCZ YapZ w/Andy Minton (Hangry Animals)","produced","BCZ YapZ","2026-04-26","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-26-andy-minton-hangry-animals/","YES","YES","NO","NO","NO",""
"The Financial Impact of WaveWarZ with DRiP Hauz","produced","WaveWarZ","2026-04-25","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-25-wavewarz-drip-hauz-financial-impact/","YES","NO","NO","NO","NO",""
"Web3 COC community catch up come talk with us","live","X Spaces","2026-04-25","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-25-space-web3-coc-community-catch-up-come-talk-with-us/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 23rd x BCZ strategies","live","X Spaces","2026-04-23","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-23-space-music-x-crypto-connect-sesh-april-23rd-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Hannah (Farm Drop)","produced","BCZ YapZ","2026-04-21","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-21-hannah-farmdrop/","YES","YES","NO","NO","NO",""
"BCZ YapZ w/Dish (Clanker)","produced","BCZ YapZ","2026-04-21","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-21-dish-clanker/","YES","YES","NO","NO","NO",""
"Web3 COC ft WaveWarZ godcloud vs cannon battle 18 space","live","X Spaces","2026-04-18","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-18-space-web3-coc-ft-wavewarz-godcloud-vs-cannon-battle-1/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Making money trading on music x BCZ strategies","live","X Spaces","2026-04-18","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-18-space-making-money-trading-on-music-x-bcz-strategies/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 17th x BCZ strategies","live","X Spaces","2026-04-17","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-17-space-music-x-crypto-connect-sesh-april-17th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 16th x BCZ strategies","live","X Spaces","2026-04-16","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-16-space-music-x-crypto-connect-sesh-april-16th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About ETH Around the World: Fireside Chat #1","produced","Let's Talk About Ethereum","2026-04-16","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-16-lets-talk-about-ethereum-around-the-world-fireside-1/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh april 15th x BCZ strategies","live","X Spaces","2026-04-15","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-15-space-music-x-crypto-connect-sesh-april-15th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Nikoline (Hubs Network)","produced","BCZ YapZ","2026-04-14","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-14-nikoline-hubs-network/","YES","YES","NO","NO","NO",""
"Music x crypto connect sesh april 13th x BCZ strategies","live","X Spaces","2026-04-13","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-13-space-music-x-crypto-connect-sesh-april-13th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"WaveWarZ Artist Interview: Kata7yst","produced","WaveWarZ Artist Interviews","2026-04-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-12-wavewarz-interview-kata7yst/","YES","NO","NO","NO","NO",""
"COC Concertz #4","community","COC Concertz","2026-04-12","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-12-coc-concertz-4/","YES","YES","NO","NO","NO",""
"WaveWarZ Artist Interview: Rocky2Grimey","produced","WaveWarZ Artist Interviews","2026-04-11","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-11-wavewarz-interview-rocky2grimey/","YES","NO","NO","NO","NO",""
"COC ConcertZ thezao WaveWarZ tom fellenz joseph goats stilo","live","X Spaces","2026-04-11","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-11-space-coc-concertz-thezao-wavewarz-tom-fellenz-joseph/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 music COC ft stilo cyberfy lit studio stilo world","live","X Spaces","2026-04-10","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-10-space-web3-music-coc-ft-stilo-cyberfy-lit-studio-stilo/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Making money trading on music april 9th x BCZ strategies","live","X Spaces","2026-04-10","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-10-space-making-money-trading-on-music-april-9th-x-bcz-st/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 9th x BCZ strategies","live","X Spaces","2026-04-09","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-09-space-music-x-crypto-connect-sesh-april-9th-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum Ep. 4 w/Fidesio","produced","Let's Talk About Ethereum","2026-04-09","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-09-lets-talk-about-ethereum-ep4-fidesio/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh april 8th x BCZ strategies","live","X Spaces","2026-04-08","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-08-space-music-x-crypto-connect-sesh-april-8th-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 6th x BCZ strategies","live","X Spaces","2026-04-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-06-space-music-x-crypto-connect-sesh-april-6th-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC community walk in happy holy saturday","live","X Spaces","2026-04-04","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-04-space-web3-coc-community-walk-in-happy-holy-saturday/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"The ZAO is beginning to explore a network token come say hi","live","X Spaces","2026-04-04","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-04-space-the-zao-is-beginning-to-explore-a-network-token/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh april 3rd x BCZ strategies","live","X Spaces","2026-04-03","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-03-space-music-x-crypto-connect-sesh-april-3rd-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh ft bonfiresai 42 x BCZ strategies","live","X Spaces","2026-04-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-02-space-music-x-crypto-connect-sesh-ft-bonfiresai-42-x-b/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum: An Ethereum Story","produced","Let's Talk About Ethereum","2026-04-02","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-02-lets-talk-about-ethereum-an-ethereum-story/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh april 1st x BCZ strategies","live","X Spaces","2026-04-01","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-01-space-music-x-crypto-connect-sesh-april-1st-x-bcz-stra/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Jordan (Ryft)","produced","BCZ YapZ","2026-04-01","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-04-01-jordan-ryft/","YES","YES","NO","NO","NO",""
"Music x crypto connect sesh march 30th x BCZ strategies","live","X Spaces","2026-03-30","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-30-space-music-x-crypto-connect-sesh-march-30th-x-bcz-str/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Money x music battle geek myth vs aporkalypse x BCZ strategies","live","X Spaces","2026-03-30","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-30-space-money-x-music-battle-geek-myth-vs-aporkalypse-x/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum Ep. 3 w/Pablo","produced","Let's Talk About Ethereum","2026-03-29","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-29-lets-talk-about-ethereum-pablo/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh march 27th presented x BCZ strategies","live","X Spaces","2026-03-27","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-27-space-music-x-crypto-connect-sesh-march-27th-presented/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Ali (Inflynce)","produced","BCZ YapZ","2026-03-25","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-25-ali-inflynce/","YES","YES","NO","NO","NO",""
"Music, Drugs, Jail, Redemption - GodCloud Interview","produced","WaveWarZ Artist Interviews","2026-03-22","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-22-wavewarz-interview-godcloud/","YES","NO","NO","NO","NO",""
"Battle Rap, Anime, Art, Merch - Cannon Jones973 Interview","produced","WaveWarZ Artist Interviews","2026-03-22","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-22-wavewarz-interview-cannon-jones973/","YES","NO","NO","NO","NO",""
"WaveWarZ zambia premier iman vs nda","live","X Spaces","2026-03-22","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-22-space-wavewarz-zambia-premier-iman-vs-nda/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC community walk in come vibe with us year of the ZABAL","live","X Spaces","2026-03-20","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-20-space-web3-coc-community-walk-in-come-vibe-with-us-yea/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum Ep. 2 w/Swarthy Hatter","produced","Let's Talk About Ethereum","2026-03-19","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-19-lets-talk-about-ethereum-ep2-swarthy-hatter/","YES","NO","NO","NO","NO",""
"BCZ YapZ w/Saltorious.eth (Among Traitors)","produced","BCZ YapZ","2026-03-18","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-18-saltorious-among-traitors/","YES","YES","NO","NO","NO",""
"BCZ YapZ w/Roaring Sensei","produced","BCZ YapZ","2026-03-18","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-18-roaring-sensei/","YES","YES","NO","NO","NO",""
"Web3 COC community walk in","live","X Spaces","2026-03-13","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-13-space-web3-coc-community-walk-in/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"WaveWarZ Artist Interview: XTinct","produced","WaveWarZ Artist Interviews","2026-03-09","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-09-wavewarz-interview-xtinct/","YES","NO","NO","NO","NO",""
"COC Concertz #3 ft. Duo Do, Joseph Goats, and Dope Stilo","community","COC Concertz","2026-03-08","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-08-coc-concertz-3/","YES","NO","NO","NO","NO",""
"Pre COC ConcertZ space","live","X Spaces","2026-03-07","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-07-space-pre-coc-concertz-space/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"COC ConcertZ 3","live","X Spaces","2026-03-07","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-07-space-coc-concertz-3/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"COC ConcertZ #2","community","COC Concertz","2026-03-07","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-07-coc-concertz-2/","YES","NO","NO","NO","NO","event date TBC"
"Web3coc community walk in come vibe with us metaverse tomorrow","live","X Spaces","2026-03-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-06-space-web3coc-community-walk-in-come-vibe-with-us-meta/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Let's Talk About Ethereum Ep. 1 w/Kenny","produced","Let's Talk About Ethereum","2026-03-05","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-05-lets-talk-about-ethereum-ep1-kenny/","YES","NO","NO","NO","NO",""
"Crypto Magic Hour Ep. 50: WaveWarZ Epic Battle, New Crypto X Rules and More","earned","Crypto Magic Hour","2026-03-03","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-03-crypto-magic-hour-ep50/","YES","NO","NO","NO","NO",""
"WaveWarZ Live Battle - Year of the ZABAL Day 60","produced","WaveWarZ","2026-03-02","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-02-wavewarz-day-60-live-battle/","YES","NO","NO","NO","NO",""
"Music x crypto connect sesh presented x ZABAL","live","X Spaces","2026-03-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-02-space-music-x-crypto-connect-sesh-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Money x music battle stilo vs itzwonderfull presented x ZABAL","live","X Spaces","2026-03-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-03-02-space-money-x-music-battle-stilo-vs-itzwonderfull-pres/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh presented x ZABAL","live","X Spaces","2026-02-27","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-27-space-music-x-crypto-connect-sesh-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music x crypto connect sesh presented x ZABAL","live","X Spaces","2026-02-25","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-25-space-music-x-crypto-connect-sesh-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"What movez web 3 music forward presented x ZABAL","live","X Spaces","2026-02-23","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-23-space-what-movez-web-3-music-forward-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/SNAX (Pizza DAO)","produced","BCZ YapZ","2026-02-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-23-snax-pizza-dao/","YES","YES","NO","NO","NO",""
"BCZ YapZ w/GIU (Pinetree)","produced","BCZ YapZ","2026-02-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-23-giu-pinetree/","YES","YES","NO","NO","NO",""
"Opening the COC Book - The Community of Communities Reveal","community","COC Concertz","2026-02-23","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-23-coc-book-reveal/","YES","NO","NO","NO","NO",""
"Weekend warriors AI nsg suno music wave warz solana spatial audius","live","X Spaces","2026-02-22","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-22-space-weekend-warriors-ai-nsg-suno-music-wave-warz-sol/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC ft lucky leprechauns come learn with us","live","X Spaces","2026-02-21","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-21-space-web3-coc-ft-lucky-leprechauns-come-learn-with-us/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"How does web 3 music win presented x ZABAL","live","X Spaces","2026-02-20","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-20-space-how-does-web-3-music-win-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"The old music industry is collapsing what now presented x ZABAL","live","X Spaces","2026-02-18","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-18-space-the-old-music-industry-is-collapsing-what-now-pr/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"B and Z BUILD","live","B&Z Builds","2026-02-18","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-18-b-and-z-build/","YES","NO","NO","NO","NO",""
"Song vs song TraderZ vs TraderZ presented x ZABAL","live","X Spaces","2026-02-17","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-17-space-song-vs-song-traderz-vs-traderz-presented-x-zaba/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music trading pb j presented x ZABAL","live","X Spaces","2026-02-17","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-17-space-music-trading-pb-j-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"ZABAL ETH boulder recap live on SongJam talking maine ZAO festival","live","X Spaces","2026-02-16","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-16-space-zabal-eth-boulder-recap-live-on-songjam-talking/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Music money marketz monday presented x ZABAL","live","X Spaces","2026-02-16","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-16-space-music-money-marketz-monday-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC community walk in catch up updates alpha","live","X Spaces","2026-02-15","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-15-space-web3-coc-community-walk-in-catch-up-updates-alph/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Post battle music x trading sesh presented x ZABAL","live","X Spaces","2026-02-14","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-14-space-post-battle-music-x-trading-sesh-presented-x-zab/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"COC ft WaveWarZ thezao polyraiders benefit battle sponsor web3hub","live","X Spaces","2026-02-14","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-14-space-coc-ft-wavewarz-thezao-polyraiders-benefit-battl/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Song vs song TraderZ vs TraderZ presented x ZABAL","live","X Spaces","2026-02-13","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-13-space-song-vs-song-traderz-vs-traderz-presented-x-zaba/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Can music and trading save the world presented x ZABAL","live","X Spaces","2026-02-13","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-13-space-can-music-and-trading-save-the-world-presented-x/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Who should win in a music battle presented x ZABAL","live","X Spaces","2026-02-12","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-12-space-who-should-win-in-a-music-battle-presented-x-zab/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Fight club for musicianz TraderZ presented x ZABAL","live","X Spaces","2026-02-12","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-12-space-fight-club-for-musicianz-traderz-presented-x-zab/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"We turned music and trading into a sport presented x ZABAL","live","X Spaces","2026-02-11","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-11-space-we-turned-music-and-trading-into-a-sport-present/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Onchain chats w mtdew coceth denverbear witness","live","X Spaces","2026-02-11","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-11-space-onchain-chats-w-mtdew-coceth-denverbear-witness/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"BCZ YapZ w/Diviflyy","produced","BCZ YapZ","2026-02-11","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-11-diviflyy-empire-builder/","YES","YES","NO","NO","NO",""
"The new music economy presented x ZABAL","live","X Spaces","2026-02-10","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-10-space-the-new-music-economy-presented-x-zabal/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC polyraiders charity concert friday 13th 2100 gmt","live","X Spaces","2026-02-07","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-07-space-web3-coc-polyraiders-charity-concert-friday-13th/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Web3 COC come vibe with us","live","X Spaces","2026-02-07","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-07-space-web3-coc-come-vibe-with-us/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"The most fun way to earn crypto in a bear market presented x ZABAL","live","X Spaces","2026-02-07","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-07-space-the-most-fun-way-to-earn-crypto-in-a-bear-market/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"The bear market doesnt effect the music marketz presented x ZABAL","live","X Spaces","2026-02-06","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-06-space-the-bear-market-doesnt-effect-the-music-marketz/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Metafide Live BTC Prediction Game","live","BetterCallZaal streams","2026-02-06","YouTube + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-06-metafide-btc-prediction/","YES","NO","NO","NO","NO",""
"Live traded music battle lil rocky vs rocky presented x ZABAL","live","X Spaces","2026-02-05","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-05-space-live-traded-music-battle-lil-rocky-vs-rocky-pres/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Sol TraderZ are motivating musicians presented x ZABAL","live","X Spaces","2026-02-03","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-03-space-sol-traderz-are-motivating-musicians-presented-x/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
"Been trading on music weve got sol for you presented by ZABAL","live","X Spaces","2026-02-02","Audio + ZM","https://bettercallzaal.github.io/zao-media/appearances/2026-02-02-space-been-trading-on-music-weve-got-sol-for-you-prese/","NO","NO","NO","NO","NO","auto-logged from spaces sweep"
